league,train_season,test_season,edge_threshold,p_draw_min,p_draw_max,train_bets,train_hit_rate,train_roi_units,train_roi,test_bets,test_hit_rate,test_roi_units,test_roi,positive_both
All,2023-24,2025-26,0.05,0.0,0.27,377,0.143236,-20.23,-0.05366,120,0.141667,-14.27,-0.118917,0
All,2023-24,2025-26,0.05,0.0,0.3,763,0.153342,-90.44,-0.118532,267,0.17603,-12.61,-0.047228,0
All,2023-24,2025-26,0.05,0.0,0.33,983,0.178026,-52.76,-0.053672,361,0.168975,-49.13,-0.136094,0
All,2023-24,2025-26,0.05,0.0,0.36,1035,0.177778,-71.5,-0.069082,381,0.170604,-55.17,-0.144803,0
All,2023-24,2025-26,0.05,0.0,1.0,1040,0.177885,-72.9,-0.070096,385,0.171429,-55.97,-0.145377,0
All,2023-24,2025-26,0.05,0.24,0.27,255,0.156863,-3.35,-0.013137,90,0.144444,-17.26,-0.191778,0
All,2023-24,2025-26,0.05,0.24,0.3,641,0.160686,-73.56,-0.114758,237,0.181435,-15.6,-0.065823,0
All,2023-24,2025-26,0.05,0.24,0.33,861,0.186992,-35.88,-0.041672,331,0.172205,-52.12,-0.157462,0
All,2023-24,2025-26,0.05,0.24,0.36,913,0.186199,-54.62,-0.059825,351,0.173789,-58.16,-0.165698,0
All,2023-24,2025-26,0.05,0.24,1.0,918,0.186275,-56.02,-0.061024,355,0.174648,-58.96,-0.166085,0
All,2023-24,2025-26,0.05,0.27,0.3,386,0.163212,-70.21,-0.181891,147,0.204082,1.66,0.011293,0
All,2023-24,2025-26,0.05,0.27,0.33,606,0.19967,-32.53,-0.05368,241,0.182573,-34.86,-0.144647,0
All,2023-24,2025-26,0.05,0.27,0.36,658,0.197568,-51.27,-0.077918,261,0.183908,-40.9,-0.156705,0
All,2023-24,2025-26,0.05,0.27,1.0,663,0.197587,-52.67,-0.079442,265,0.184906,-41.7,-0.157358,0
All,2023-24,2025-26,0.05,0.3,0.33,220,0.263636,37.68,0.171273,94,0.148936,-36.52,-0.388511,0
All,2023-24,2025-26,0.05,0.3,0.36,272,0.246324,18.94,0.069632,114,0.157895,-42.56,-0.373333,0
All,2023-24,2025-26,0.05,0.3,1.0,277,0.245487,17.54,0.063321,118,0.161017,-43.36,-0.367458,0
Bundesliga,2023-24,2025-26,0.0,0.0,0.27,135,0.2,-6.27,-0.046444,107,0.186916,-7.18,-0.067103,0
Bundesliga,2023-24,2025-26,0.0,0.0,0.3,206,0.223301,0.23,0.001117,162,0.222222,-2.92,-0.018025,0
