season,league,edge_bucket,p_draw_bucket,fixtures,pickem_fixtures,classified_fixtures,draws,favorite_wins,underdog_wins,pickem_non_draw_games,draw_rate,favorite_win_pct_of_non_draws,underdog_win_pct_of_non_draws,favorite_win_rate_of_classified_fixtures,underdog_win_rate_of_classified_fixtures,avg_model_draw_probability,avg_market_draw_probability,avg_draw_edge,positive_edge_fixtures,surviving_rule_fixtures,avg_draw_odds,draw_roi_units,draw_roi,favorite_ml_bets,avg_favorite_ml_odds,favorite_ml_roi_units,favorite_ml_roi,underdog_ml_bets,avg_underdog_ml_odds,underdog_ml_roi_units,underdog_ml_roi
2023-24,Premier League,0.03-0.05,0.27-0.30,22,0,22,4,13,5,0,0.181818,0.722222,0.277778,0.590909,0.227273,0.279792,0.240422,0.03937,22,0,4.061818,-5.57,-0.253182,22,1.852273,2.62,0.119091,22,4.473636,0.68,0.030909
2023-24,Premier League,0.03-0.05,0.30-0.33,3,0,3,1,2,0,0,0.333333,1.0,0.0,0.666667,0.0,0.31076,0.265279,0.045481,3,0,3.68,0.79,0.263333,3,2.266667,1.57,0.523333,3,3.216667,-3.0,-1.0
2023-24,Premier League,0.03-0.05,<0.18,1,0,1,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.166802,0.124834,0.041968,1,0,7.75,-1.0,-1.0,1,1.18,0.18,0.18,1,17.5,-1.0,-1.0
2023-24,Premier League,0.03-0.05,All,54,0,54,11,36,7,0,0.203704,0.837209,0.162791,0.666667,0.12963,0.262386,0.223036,0.03935,54,0,4.440741,-5.67,-0.105,54,1.721667,7.92,0.146667,54,5.371296,-19.64,-0.363704
2023-24,Premier League,<0,0.18-0.21,2,0,2,0,1,1,0,0.0,0.5,0.5,0.5,0.5,0.203557,0.22756,-0.024004,0,0,4.28,-2.0,-1.0,2,1.665,-0.4,-0.2,2,5.16,2.9,1.45
2023-24,Premier League,<0,0.21-0.24,25,0,25,6,13,6,0,0.24,0.684211,0.315789,0.52,0.24,0.229266,0.251642,-0.022375,0,0,3.8728,-1.54,-0.0616,25,2.0952,1.91,0.0764,25,3.6204,-4.88,-0.1952
2023-24,Premier League,<0,0.24-0.27,49,1,48,15,19,15,0,0.306122,0.558824,0.441176,0.395833,0.3125,0.255072,0.274015,-0.018943,0,0,3.560204,5.01,0.102245,48,2.302708,-3.6,-0.075,48,3.364792,-0.19,-0.003958
2023-24,Premier League,<0,0.27-0.30,16,0,16,8,6,2,0,0.5,0.75,0.25,0.375,0.125,0.282342,0.29343,-0.011088,0,0,3.32375,10.96,0.685,16,2.354375,-1.66,-0.10375,16,3.439375,-9.89,-0.618125
2023-24,Premier League,<0,0.30-0.33,2,0,2,1,0,1,0,0.5,0.0,1.0,0.0,0.5,0.308076,0.314672,-0.006595,0,0,3.09,1.12,0.56,2,2.485,-2.0,-1.0,2,3.35,1.04,0.52
2023-24,Premier League,<0,All,94,1,93,30,39,25,0,0.319149,0.609375,0.390625,0.419355,0.268817,0.252882,0.271246,-0.018364,0,0,3.608404,13.55,0.144149,93,2.246022,-5.75,-0.061828,93,3.484624,-11.02,-0.118495
2023-24,Premier League,>=0.05,0.18-0.21,1,0,1,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.207353,0.142221,0.065131,1,0,6.8,-1.0,-1.0,1,1.25,-1.0,-1.0,1,11.5,10.5,10.5
2023-24,Premier League,>=0.05,0.21-0.24,26,0,26,4,21,1,0,0.153846,0.954545,0.045455,0.807692,0.038462,0.228036,0.123903,0.104133,26,0,8.613077,-0.33,-0.012692,26,1.222692,-0.68,-0.026154,26,14.792692,-11.55,-0.444231
2023-24,Premier League,>=0.05,0.24-0.27,41,0,41,7,31,3,0,0.170732,0.911765,0.088235,0.756098,0.073171,0.2567,0.160392,0.096308,41,0,6.335122,5.03,0.122683,41,1.338537,0.52,0.012683,41,10.325366,-19.39,-0.472927
2023-24,Premier League,>=0.05,0.27-0.30,39,0,39,3,30,6,0,0.076923,0.833333,0.166667,0.769231,0.153846,0.281236,0.182943,0.098293,39,0,5.514872,-24.16,-0.619487,39,1.425897,2.84,0.072821,39,8.682564,3.98,0.102051
2023-24,Premier League,>=0.05,0.30-0.33,2,0,2,0,2,0,0,0.0,1.0,0.0,1.0,0.0,0.303504,0.210222,0.093281,2,0,4.775,-2.0,-1.0,2,1.555,1.11,0.555,2,6.56,-2.0,-1.0
2023-24,Premier League,>=0.05,<0.18,1,0,1,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.178167,0.06528,0.112887,1,0,15.02,-1.0,-1.0,1,1.09,0.09,0.09,1,27.88,-1.0,-1.0
2023-24,Premier League,>=0.05,>=0.33,1,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.331206,0.259813,0.071394,1,0,3.7,2.7,2.7,1,1.71,-1.0,-1.0,1,5.4,-1.0,-1.0
2023-24,Premier League,>=0.05,All,111,0,111,15,85,11,0,0.135135,0.885417,0.114583,0.765766,0.099099,0.258969,0.160541,0.098428,111,0,6.611081,-20.76,-0.187027,111,1.346306,1.88,0.016937,111,10.851081,-20.46,-0.184324
2023-24,Premier League,All,0.18-0.21,5,0,5,0,3,2,0,0.0,0.6,0.4,0.6,0.4,0.200344,0.183164,0.017179,3,0,5.508,-5.0,-1.0,5,1.456,-0.7,-0.14,5,7.618,11.4,2.28
2023-24,Premier League,All,0.21-0.24,72,0,72,16,47,9,0,0.222222,0.839286,0.160714,0.652778,0.125,0.228918,0.19388,0.035038,47,0,5.800694,4.62,0.064167,72,1.655417,1.74,0.024167,72,8.118333,-26.54,-0.368611
2023-24,Premier League,All,0.24-0.27,164,1,163,37,93,34,0,0.22561,0.732283,0.267717,0.570552,0.208589,0.256146,0.22817,0.027975,115,0,4.519329,-1.43,-0.00872,163,1.867301,0.3,0.00184,163,5.592331,-31.67,-0.194294
2023-24,Premier League,All,0.27-0.30,120,0,120,24,72,24,0,0.2,0.75,0.25,0.6,0.2,0.281567,0.23927,0.042297,104,0,4.276167,-29.65,-0.247083,120,1.902917,8.29,0.069083,120,5.390417,-10.56,-0.088
2023-24,Premier League,All,0.30-0.33,9,0,9,4,4,1,0,0.444444,0.8,0.2,0.444444,0.111111,0.306705,0.270541,0.036165,7,0,3.708889,4.52,0.502222,9,2.191111,-1.32,-0.146667,9,4.0,-5.96,-0.662222
2023-24,Premier League,All,<0.18,4,0,4,0,4,0,0,0.0,1.0,0.0,1.0,0.0,0.16794,0.120477,0.047463,4,0,9.0675,-4.0,-1.0,4,1.2025,0.81,0.2025,4,16.87,-4.0,-1.0
2023-24,Premier League,All,>=0.33,1,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.331206,0.259813,0.071394,1,0,3.7,2.7,2.7,1,1.71,-1.0,-1.0,1,5.4,-1.0,-1.0
2023-24,Premier League,All,All,375,1,374,82,223,70,0,0.218667,0.761092,0.238908,0.596257,0.187166,0.258781,0.224491,0.03429,281,0,4.7276,-28.24,-0.075307,374,1.832701,8.12,0.021711,374,6.122701,-68.33,-0.182701
2023-24,Primeira Liga,0.00-0.01,0.18-0.21,1,0,1,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.208399,0.19972,0.008678,1,0,4.86,-1.0,-1.0,1,1.48,0.48,0.48,1,6.72,-1.0,-1.0
2023-24,Primeira Liga,0.00-0.01,0.24-0.27,6,0,6,0,5,1,0,0.0,0.833333,0.166667,0.833333,0.166667,0.259978,0.252859,0.007119,6,0,3.845,-6.0,-1.0,6,1.815,2.92,0.486667,6,4.696667,-2.07,-0.345
2023-24,Primeira Liga,0.00-0.01,0.27-0.30,21,0,21,4,14,3,0,0.190476,0.823529,0.176471,0.666667,0.142857,0.28468,0.280026,0.004654,21,0,3.46619,-7.14,-0.34,21,2.187619,8.86,0.421905,21,3.614762,-10.33,-0.491905
2023-24,Primeira Liga,0.00-0.01,0.30-0.33,4,0,4,1,1,2,0,0.25,0.333333,0.666667,0.25,0.5,0.307928,0.305215,0.002713,4,0,3.175,-0.79,-0.1975,4,2.6025,-1.21,-0.3025,4,3.0325,2.02,0.505
2023-24,Primeira Liga,0.00-0.01,All,32,0,32,5,21,6,0,0.15625,0.777778,0.222222,0.65625,0.1875,0.280571,0.275571,0.005,32,0,3.544375,-14.93,-0.466562,32,2.1475,11.05,0.345313,32,3.841875,-11.38,-0.355625
